,Unnamed: 0,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
122,44379,Punjab Circle,DivReportingCircle,Sangrur Division,Pakhoke BO,148103,BO,Delivery,BARNALA,PUNJAB,31.338607,75.000533
123,44380,Punjab Circle,DivReportingCircle,Sangrur Division,Chhiniwal Khurd BO,148100,BO,Delivery,BARNALA,PUNJAB,30.579556,75.447582
124,44381,Punjab Circle,DivReportingCircle,Sangrur Division,Dhilwan BO,148108,BO,Delivery,BARNALA,PUNJAB,31.509998,75.335388
175,46462,Punjab Circle,Punjab West Region,Amritsar Division,Dhanoakalan BO,143108,BO,Delivery,AMRITSAR,PUNJAB,31.64,74.56
179,46466,Punjab Circle,Punjab West Region,Amritsar Division,Bhalaipur Purban BO,143202,BO,Delivery,AMRITSAR,PUNJAB,31.61,75.22
182,46469,Punjab Circle,Punjab West Region,Amritsar Division,Jamalpur BO,143203,BO,Delivery,AMRITSAR,PUNJAB,31.63,75.34
190,46477,Punjab Circle,Punjab West Region,Amritsar Division,Bhlaipur Dorgan BO,143201,BO,Delivery,AMRITSAR,PUNJAB,31.53825,75.2566
192,46479,Punjab Circle,Punjab West Region,Amritsar Division,Makowal BO,143103,BO,Delivery,AMRITSAR,PUNJAB,31.9,74.89
203,47011,Punjab Circle,DivReportingCircle,Sangrur Division,Sangala BO,148023,BO,Delivery,MALERKOTLA,PUNJAB,15.383333,35.116667
204,47012,Punjab Circle,DivReportingCircle,Sangrur Division,Kup Kalan BO,148019,BO,Delivery,MALERKOTLA,PUNJAB,30.613364,75.875181
205,47013,Punjab Circle,DivReportingCircle,Sangrur Division,Badbar BO,148106,BO,Delivery,BARNALA,PUNJAB,12.4545,12.57575
213,47021,Punjab Circle,DivReportingCircle,Sangrur Division,Nihaluwal BO,148104,BO,Delivery,BARNALA,PUNJAB,31.147183,75.293849
214,47022,Punjab Circle,DivReportingCircle,Sangrur Division,Jhuner BO,148020,BO,Delivery,MALERKOTLA,PUNJAB,30.587701,75.770579
243,47468,Punjab Circle,Punjab West Region,Hoshiarpur Division,Chinkoa BO,144526,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.45,75.96
246,47471,Punjab Circle,Punjab West Region,Hoshiarpur Division,Makhoopur BO,144525,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.56,75.89
248,47473,Punjab Circle,Punjab West Region,Jalandhar Division,Phambra BO,144417,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.0684,76.0024
249,47474,Punjab Circle,Punjab West Region,Jalandhar Division,Dhahan BO,144505,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.1917,75.9462
260,48288,Punjab Circle,DivReportingCircle,Sangrur Division,Gujran BO,148035,BO,Delivery,SANGRUR,PUNJAB,30.124178,75.970998
264,48292,Punjab Circle,DivReportingCircle,Sangrur Division,Kheri BO,148002,BO,Delivery,SANGRUR,PUNJAB,28.16514,80.632692
266,48294,Punjab Circle,DivReportingCircle,Sangrur Division,Hassanpur BO,148034,BO,Delivery,SANGRUR,PUNJAB,27.965739,77.498875
269,48297,Punjab Circle,DivReportingCircle,Sangrur Division,Haryau BO,148031,BO,Delivery,SANGRUR,PUNJAB,12.5456,85.323213
272,48307,Punjab Circle,DivReportingCircle,Sangrur Division,Chural Kalan BO,148033,BO,Delivery,SANGRUR,PUNJAB,29.822765,75.815626
276,48311,Punjab Circle,DivReportingCircle,Sangrur Division,Banarsi BO,148027,BO,Delivery,SANGRUR,PUNJAB,29.824088,76.079893
279,48504,Punjab Circle,Punjab West Region,Jalandhar Division,Bhan Mazara BO,144504,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.1739,75.8813
281,48506,Punjab Circle,Punjab West Region,Jalandhar Division,Sarhal Qazian BO,144502,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.1561,75.913
282,48507,Punjab Circle,Punjab West Region,Jalandhar Division,Bharta Khurd BO,144518,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.0572,76.0793
